scenario,bus,Pd,Qd,Pg,Qg,Vm,Va,PQ,PV,REF
0,0.0,0.0,0.0,166.55538543762017,0.000701706606776,1.0,0.0,0.0,0.0,1.0
0,1.0,12.2157536527011,12.7,8.584055020711882e-07,10.966047085925824,0.979811684905562,-3.825424507099748,0.0,1.0,0.0
0,2.0,1.3510510952296149,1.2,0.0,0.0,0.9736337429665128,-5.016608216487653,1.0,0.0,0.0
0,3.0,4.278328468227114,1.6,0.0,0.0,0.9669088200901184,-6.16651274778606,1.0,0.0,0.0
0,4.0,53.02875548776239,19.0,5.0265754761931355e-11,24.455196439792985,0.9593797497563644,-9.208364062687435,0.0,1.0,0.0
0,5.0,0.0,0.0,0.0,0.0,0.9664805470426264,-7.319178981668967,1.0,0.0,0.0
0,6.0,12.834985404681342,10.9,0.0,0.0,0.9570207690169904,-8.380329395918206,1.0,0.0,0.0
0,7.0,16.888138690370187,30.0,3.3167232709618183e-10,30.68998171976842,0.9654716554559576,-7.762140403654436,0.0,1.0,0.0
0,8.0,0.0,0.0,0.0,0.0,1.0152006403596812,-9.185818697389273,1.0,0.0,0.0
0,9.0,3.265040146804903,2.0,0.0,0.0,1.006202359328467,-10.155217936879598,1.0,0.0,0.0
0,10.0,0.0,0.0,1.1350252049266587e-09,22.825933515823056,1.0599915101526611,-9.18581869726357,0.0,1.0,0.0
0,11.0,6.304905111071536,7.5,0.0,0.0,1.0134747218811753,-9.67415259662335,1.0,0.0,0.0
0,12.0,0.0,0.0,3.927446454803881e-10,10.236166256541466,1.0274228569285109,-9.674152596593094,0.0,1.0,0.0
0,13.0,3.490215329343172,1.6,0.0,0.0,1.0022582141378145,-10.161487311257712,1.0,0.0,0.0
0,14.0,4.616091242034518,2.5,0.0,0.0,0.9988679185016628,-10.190873567580958,1.0,0.0,0.0
0,15.0,1.9702828472098552,1.8,0.0,0.0,1.004111481871594,-9.99292426665681,1.0,0.0,0.0
0,16.0,5.066441607111056,5.8,0.0,0.0,1.0011637392592216,-10.204185571640512,1.0,0.0,0.0
0,17.0,1.8014014603061534,0.9,0.0,0.0,0.9921469673890496,-10.538929409945132,1.0,0.0,0.0
0,18.0,5.347910585283892,3.4,0.0,0.0,0.9905019767347274,-10.643948600227269,1.0,0.0,0.0
0,19.0,1.2384635039604803,0.7,0.0,0.0,0.9938021431970644,-10.554647010121268,1.0,0.0,0.0
0,20.0,9.851414236049276,11.2,0.0,0.0,0.99553507516732,-10.340935572495638,1.0,0.0,0.0
0,21.0,0.0,0.0,0.0,0.0,0.9959212854165136,-10.337112137838377,1.0,0.0,0.0
0,22.0,1.8014014603061534,1.6,0.0,0.0,0.9902589655390128,-10.377429418835762,1.0,0.0,0.0
0,23.0,4.897560220207354,6.7,0.0,0.0,0.985573763456298,-10.471291205808049,1.0,0.0,0.0
0,24.0,0.0,0.0,0.0,0.0,0.9791385366874964,-10.191482413465884,1.0,0.0,0.0
0,25.0,1.9702828472098552,2.3,0.0,0.0,0.9648841667726286,-10.290691990400395,1.0,0.0,0.0
0,26.0,0.0,0.0,0.0,0.0,0.9822595804429354,-9.930110297997638,1.0,0.0,0.0
0,27.0,0.0,0.0,0.0,0.0,0.964398484601374,-7.685832642531029,1.0,0.0,0.0
0,28.0,1.3510510952296149,0.9,0.0,0.0,0.968171873826716,-10.594976213638782,1.0,0.0,0.0
0,29.0,5.967142337264132,1.9,0.0,0.0,0.960465538069216,-11.0928267529739,1.0,0.0,0.0
1,0.0,0.0,0.0,166.55538543762017,0.000701706606776,1.0,0.0,0.0,0.0,1.0
1,1.0,12.2157536527011,12.7,8.584055020711882e-07,10.966047085925824,0.979811684905562,-3.825424507099748,0.0,1.0,0.0
1,2.0,1.3510510952296149,1.2,0.0,0.0,0.9736337429665128,-5.016608216487653,1.0,0.0,0.0
